iter	Passed	Remaining
468	707	801
469	708	799
470	709	797
471	710	795
472	712	793
473	713	791
474	714	789
475	715	787
476	716	785
477	717	783
478	718	781
479	719	779
480	720	777
481	721	775
482	723	774
483	724	772
484	725	770
485	726	768
486	728	767
487	729	765
488	730	763
489	731	761
490	732	759
491	734	757
492	735	755
493	736	753
494	737	752
495	739	750
496	740	748
497	741	747
498	742	745
499	743	743
500	744	741
501	745	739
502	746	737
503	747	735
504	748	733
505	749	731
506	750	729
507	751	728
508	753	726
509	754	725
510	755	723
511	756	721
512	757	719
513	758	717
514	759	715
515	760	713
516	761	711
517	762	709
518	763	708
519	764	706
520	765	704
521	766	702
522	767	700
523	769	698
524	770	696
525	771	694
526	772	693
527	773	691
528	774	689
529	775	687
530	776	685
531	777	684
532	778	682
533	779	680
534	780	678
535	781	676
536	783	675
537	784	673
538	785	671
539	786	670
540	788	668
541	789	667
542	790	665
543	792	664
544	793	662
545	794	660
546	795	659
547	797	657
548	799	657
549	802	656
550	805	656
551	808	656
552	811	655
553	813	654
554	815	653
555	818	653
556	821	653
557	824	652
558	826	652
559	829	652
560	834	652
561	837	652
562	840	652
563	843	652
564	849	653
565	852	653
566	855	653
567	859	653
568	863	654
569	867	654
570	870	653
571	872	653
572	876	653
573	881	654
574	885	654
575	888	654
576	891	653
577	893	652
578	896	651
579	898	650
580	901	650
581	903	649
582	906	648
583	909	648
584	911	646
585	914	645
586	915	644
587	917	642
588	919	641
589	921	640
590	924	639
591	926	638
592	928	636
593	930	636
594	932	634
595	934	633
596	936	632
597	938	630
598	940	629
599	942	628
600	943	626
601	945	625
602	947	623
603	948	622
604	950	620
605	952	619
606	954	617
607	955	616
608	957	614
609	958	613
610	960	611
611	961	609
612	963	608
613	964	606
614	966	605
615	968	603
616	969	601
617	971	600
618	972	598
619	974	596
620	975	595
621	976	593
622	977	591
623	978	589
624	979	587
625	981	586
626	984	585
627	985	583
628	987	582
629	988	580
630	989	578
631	990	576
632	991	574
633	992	573
634	994	571
635	995	569
636	996	568
637	998	566
638	1000	565
639	1001	563
640	1003	561
641	1004	559
642	1005	558
643	1006	556
644	1010	556
645	1011	554
646	1012	552
647	1014	550
648	1015	549
649	1016	547
650	1017	545
651	1019	544
652	1020	542
653	1021	540
654	1022	538
655	1023	536
656	1024	535
657	1027	534
658	1030	533
659	1031	531
660	1032	529
661	1033	527
662	1034	525
663	1035	523
664	1036	522
665	1038	520
666	1039	519
667	1040	517
668	1042	515
669	1043	513
670	1044	512
671	1045	510
672	1046	508
673	1047	506
674	1048	505
675	1050	503
676	1051	501
677	1052	499
678	1053	497
679	1054	496
680	1055	494
681	1057	492
682	1058	491
683	1059	489
684	1061	487
685	1062	486
686	1063	484
687	1064	482
688	1065	481
689	1066	479
690	1067	477
691	1068	475
692	1069	473
693	1071	472
694	1072	470
695	1073	468
696	1074	467
697	1075	465
698	1076	463
699	1077	461
700	1079	460
701	1080	458
702	1081	456
703	1082	455
704	1083	453
705	1085	451
706	1086	450
707	1088	448
708	1089	447
709	1090	445
710	1091	443
711	1092	442
712	1093	440
713	1094	438
714	1095	436
715	1096	435
716	1097	433
717	1098	431
718	1099	429
719	1100	428
720	1102	426
721	1103	424
722	1104	423
723	1105	421
724	1106	419
725	1108	418
726	1109	416
727	1110	414
728	1111	413
729	1112	411
730	1113	409
731	1114	407
732	1115	406
733	1116	404
734	1117	402
735	1118	401
736	1119	399
737	1120	397
738	1122	396
739	1123	394
740	1124	392
741	1125	391
742	1126	389
743	1127	387
744	1128	386
745	1129	384
746	1130	382
747	1132	381
748	1133	379
749	1135	378
750	1136	376
751	1137	375
752	1138	373
753	1139	371
754	1140	370
755	1141	368
756	1142	366
757	1143	364
758	1144	363
759	1145	361
